Wavelength (µm) M3 targeted images,"average every 4 channels, step n, sort","average every 4 channels, step n, sort, round 0.0001",Wavelength (µm) M3 global images
1.0648,2.097875,2.0979,2.0979
1.0748,2.1378,2.1378,2.1378
1.0848,2.177725,2.1777,2.1777
1.0948,2.21765,2.2177,2.2176
1.1048,2.257575,2.2576,2.2576
1.1148,2.2975,2.2975,2.2975
1.1247,2.3374,2.3374,2.3374
1.1347,2.37735,2.3774,2.3773
1.1447,2.417275,2.4173,2.4173
1.1547,2.4572,2.4572,2.4572
1.1647,2.4971,2.4971,2.4971
1.1746,2.537025,2.5370,2.537
1.1846,2.57695,2.5770,2.577
1.1946,2.6169,2.6169,2.6169
1.2046,2.6568,2.6568,2.6568
1.2146,2.696725,2.6967,2.6967
1.2245,2.73665,2.7367,2.7367
1.2345,2.7766,2.7766,2.7766
1.2445,2.8165,2.8165,2.8165
1.2545,2.8564,2.8564,2.8564
1.2645,2.89635,2.8964,2.8963
1.2744,2.9363,2.9363,2.9363
1.2844,2.9762,2.9762,2.9762
1.2944,,,
1.3044,,,
1.3144,,,
1.3244,,,
1.3343,,,
1.3443,,,
1.3543,,,
1.3643,,,
1.3743,,,
1.3842,,,
1.3942,,,
1.4042,,,
1.4142,,,
1.4242,,,
1.4341,,,
1.4441,,,
1.4541,,,
1.4641,,,
1.4741,,,
1.484,,,
1.494,,,
1.504,,,
1.514,,,
1.524,,,
1.534,,,
1.5439,,,
1.5539,,,
1.5639,,,
1.5739,,,
1.5839,,,
1.5938,,,
1.6038,,,
1.6138,,,
1.6238,,,
1.6338,,,
1.6437,,,
1.6537,,,
1.6637,,,
1.6737,,,
1.6837,,,
1.6936,,,
1.7036,,,
1.7136,,,
1.7236,,,
1.7336,,,
1.7436,,,
1.7535,,,
1.7635,,,
1.7735,,,
1.7835,,,
1.7935,,,
1.8034,,,
1.8134,,,
1.8234,,,
1.8334,,,
1.8434,,,
1.8533,,,
1.8633,,,
1.8733,,,
1.8833,,,
1.8933,,,
1.9032,,,
1.9132,,,
1.9232,,,
1.9332,,,
1.9432,,,
1.9532,,,
1.9631,,,
1.9731,,,
1.9831,,,
1.9931,,,
2.0031,,,
2.013,,,
2.023,,,
2.033,,,
2.043,,,
2.053,,,
2.0629,,,
2.0729,,,
2.0829,,,
2.0929,,,
2.1029,,,
2.1128,,,
2.1228,,,
2.1328,,,
2.1428,,,
2.1528,,,
2.1628,,,
2.1727,,,
2.1827,,,
2.1927,,,
2.2027,,,
2.2127,,,
2.2226,,,
2.2326,,,
2.2426,,,
2.2526,,,
2.2626,,,
2.2725,,,
2.2825,,,
2.2925,,,
2.3025,,,
2.3125,,,
2.3224,,,
2.3324,,,
2.3424,,,
2.3524,,,
2.3624,,,
2.3724,,,
2.3823,,,
2.3923,,,
2.4023,,,
2.4123,,,
2.4223,,,
2.4322,,,
2.4422,,,
2.4522,,,
2.4622,,,
2.4722,,,
2.4821,,,
2.4921,,,
2.5021,,,
2.5121,,,
2.5221,,,
2.532,,,
2.542,,,
2.552,,,
2.562,,,
2.572,,,
2.5819,,,
2.5919,,,
2.6019,,,
2.6119,,,
2.6219,,,
2.6319,,,
2.6418,,,
2.6518,,,
2.6618,,,
2.6718,,,
2.6818,,,
2.6917,,,
2.7017,,,
2.7117,,,
2.7217,,,
2.7317,,,
2.7416,,,
2.7516,,,
2.7616,,,
2.7716,,,
2.7816,,,
2.7916,,,
2.8015,,,
2.8115,,,
2.8215,,,
2.8315,,,
2.8414,,,
2.8514,,,
2.8614,,,
2.8714,,,
2.8814,,,
2.8914,,,
2.9013,,,
2.9113,,,
2.9213,,,
2.9313,,,
2.9413,,,
2.9513,,,
2.9612,,,
2.9712,,,
2.9812,,,
2.9912,,,
